date,open,high,low,close,volume,ex_rate,
20180727,2292.33,2295.27,2284.44,2294.99,262143,1118.1,
20180726,2284.51,2297.16,2276.54,2289.06,303334,1119.3,
20180725,2284.38,2292.61,2269.67,2273.03,309319,1126.3,
20180724,2273.15,2284.43,2263.13,2280.2,436133,1135.2,
20180723,2289.61,2289.61,2264.42,2269.31,334290,1131.4,
20180720,2281.36,2293.34,2269.55,2289.19,353236,1133.7,
20180719,2298.91,2300.18,2278.94,2282.29,464516,1133.2,
20180718,2313.78,2319.39,2287.1,2290.11,402771,1132.3,
20180717,2302.95,2306.07,2290.24,2297.92,379033,1124.1,
20180716,2312.26,2317.84,2299.79,2301.99,297122,1129.2,
20180713,2293.07,2313.8,2293.07,2310.9,291562,1123.5,
20180712,2285.93,2298.56,2277.73,2285.06,364407,1125.9,
20180711,2277.22,2287.08,2262.77,2280.62,422988,1120,
20180710,2299.09,2305.84,2292.13,2294.16,339918,1116,
20180709,2276.92,2294.61,2267.25,2285.8,352638,1112.2,
20180706,2261.44,2283.75,2247.35,2272.87,344433,1115.9,
20180705,2264.74,2274.74,2243.9,2257.55,346883,1118.6,
20180704,2270.95,2280.81,2261.34,2265.46,315103,1114.5,
20180703,2285.88,2287.39,2252.36,2272.76,366027,1118.7,
20180702,2322.23,2327.59,2271.53,2271.54,393265,1120,
20180629,2325.68,2329.58,2296.39,2326.13,396663,1114.5,
20180628,2327.37,2335.35,2310.8,2314.24,414370,1124.2,
20180627,2349.38,2358.71,2342.02,2342.03,526625,1117.6,
20180626,2334.75,2358.01,2326.61,2350.92,470914,1114.8,
20180625,2351.89,2361.39,2337.22,2357.88,415079,1117.2,
20180622,2323.08,2357.4,2320.76,2357.22,537263,1107.4,
20180621,2364.16,2370.58,2337.83,2337.83,438264,1112.8,
20180620,2350.24,2374.52,2345.22,2363.91,456004,1105.1,
20180619,2373.12,2379.49,2336.54,2340.11,606304,1109.1,
20180618,2404.68,2405.56,2365.31,2376.24,564818,1104.8,
20180615,2432.18,2433.51,2403.97,2404.04,502361,1097.7,
20180614,2450.86,2451.95,2422.37,2423.48,533448,1083.1,
20180612,2474.78,2479.56,2462.84,2468.83,613166,1077.2,
20180611,2454.25,2470.99,2448,2470.15,427946,1075.2,
20180608,2467.88,2468.27,2449.11,2451.58,530159,1075.9,
20180607,2468.26,2478.67,2466.01,2470.58,474146,1069,
20180605,2450.39,2455.78,2432.81,2453.76,501363,1070.7,
20180604,2444.62,2452.67,2441.25,2447.76,438929,1071.9,
20180601,2419.63,2445.31,2418.11,2438.96,603023,1075,
20180531,2428.83,2430.15,2415.5,2423.01,816930,1077.7,
20180530,2446.81,2449.88,2399.58,2409.03,575922,1080.9,
20180529,2476.7,2479.68,2457.18,2457.25,571836,1076.8,
20180528,2465,2482.4,2463.14,2478.96,708362,1074.2,
20180525,2452.8,2466.57,2444.77,2460.8,653592,1078,
20180524,2477.48,2481.31,2457.84,2466.01,638125,1079.6,
20180523,2462.98,2476.86,2460.07,2471.91,752675,1080.7,
20180521,2464.07,2472.3,2447.69,2465.57,588088,1085.4,
20180518,2459.73,2461.95,2452.34,2460.65,431376,1077.6,
20180517,2468.72,2472.82,2448.43,2448.45,596771,1081.2,
20180516,2446.64,2465.55,2444.67,2459.82,691813,1077.6,
20180515,2476.87,2480.22,2456.2,2458.54,712619,1073.8,
20180514,2482.97,2486.17,2471.91,2476.11,650707,1068,
20180511,2469.3,2483.85,2468.41,2477.71,599900,1069.3,
20180510,2458.67,2464.72,2448.01,2464.16,490004,1073.1,
20180509,2450.71,2451.86,2428.79,2443.98,593365,1080.9,
20180508,2468.45,2479.75,2444.08,2449.81,714734,1076.5,
20180504,2486.47,2487.77,2461.38,2461.38,612024,1077.2,
20180503,2506.94,2507.91,2487.25,2487.25,614102,1076.3,
20180502,2515.75,2516.57,2501.71,2505.61,807588,1076.1,
20180430,2502.29,2515.38,2500.22,2515.38,746291,1068,
20180427,2497.75,2508.13,2484.19,2492.4,464957,1076.6,
20180426,2460.62,2484.09,2456.2,2475.64,520917,1080.9,
20180425,2444.19,2453.54,2436.51,2448.81,466095,1080.6,
20180424,2478.47,2479.32,2454.44,2464.14,524280,1076.8,
20180423,2473.7,2478.57,2466.57,2474.11,701423,1069,
20180420,2478.59,2485.15,2472.37,2476.33,531718,1067.3,
20180419,2483.26,2490.57,2476.51,2486.1,727030,1061.5,
20180418,2467.55,2486.73,2467.55,2479.98,647285,1068.7,
20180417,2459.39,2465.63,2449.08,2453.77,394700,1067,
20180416,2466.04,2466.16,2449.97,2457.49,347173,1074,
20180413,2449.42,2457.85,2442.35,2455.07,395886,1069.5,
20180412,2450.95,2454.95,2441.58,2442.71,441568,1069.5,
20180411,2456.53,2458.99,2441.2,2444.22,355187,1066.3,
20180410,2439.94,2454.36,2419.55,2450.74,356390,1066.4,
20180409,2424.15,2446.28,2424.15,2444.08,334424,1067.1,
20180406,2420.88,2433.97,2417.24,2429.58,454309,1069.6,
20180405,2426.92,2446.78,2420.92,2437.52,591042,1059.7,
20180404,2447.97,2447.97,2405.91,2408.06,551703,1059.8,
20180403,2422.26,2442.43,2416.44,2442.43,497140,1054.2,
20180402,2454.72,2467.52,2440.89,2444.16,390319,1056.6,
20180330,2454.1,2458.24,2445.72,2445.85,395329,1063.5,
20180329,2421.7,2439.47,2413.71,2436.37,333359,1065.9,
20180328,2425.94,2430.77,2409.47,2419.29,501307,1070.8,
20180327,2455,2456.55,2444.92,2452.06,332128,1070.3,
20180326,2414.68,2437.08,2399.44,2437.08,306904,1081.1,
20180323,2446.73,2450.4,2412.62,2416.76,457952,1082.2,
20180322,2494.84,2508.71,2485.34,2496.02,482138,1072.7,
20180321,2488.22,2492.88,2483.78,2484.97,399073,1072.3,
20180320,2456.8,2485.52,2456.8,2485.52,291495,1068.6,
20180319,2491.99,2493.56,2470.91,2475.03,477219,1071.6,
20180316,2495.11,2497.8,2476.88,2493.97,377766,1066.2,
20180315,2486,2496.51,2471.04,2492.38,344009,1065.4,
20180314,2477.43,2486.98,2474.77,2486.08,360865,1064.6,
20180313,2483.05,2494.49,2478.76,2494.49,350203,1067.5,
20180312,2485.64,2489.46,2474.91,2484.12,391303,1065.2,
20180309,2443.43,2476.43,2436.03,2459.45,437265,1069.8,
20180308,2420.67,2433.08,2407.59,2433.08,394848,1070.2,
20180307,2413.39,2429.43,2395.24,2401.82,412971,1069.1,
20180306,2400.67,2413.01,2392.87,2411.41,400110,1076.1,
20180305,2405.92,2407.98,2374.8,2375.06,312254,1082,
20180302,2406.57,2410.34,2387.25,2402.16,320397,1080.3,
20180228,2447.11,2460.12,2426.21,2427.36,367556,1082.8,
20180227,2474.08,2480.79,2456.14,2456.14,271231,1071.3,
20180226,2465.35,2466.08,2447.86,2457.65,321259,1073.4,
20180223,2427.13,2451.52,2427.13,2451.52,300578,1079,
20180222,2417.18,2422.62,2405.23,2414.28,349492,1084.3,
20180221,2417.73,2432.45,2404.02,2429.65,432275,1076.2,
20180220,2433.35,2438.48,2411.23,2415.12,421485,1073.5,
20180219,2452.52,2455.12,2428.15,2442.82,322137,1067.6,
20180214,2412.47,2426.63,2408.02,2421.83,305739,1077.2,
20180213,2402.89,2421.8,2388.54,2395.19,423415,1084.5,
20180212,2380.49,2397.9,2367.31,2385.38,352288,1084.6,
20180209,2346.73,2372.9,2346.73,2363.77,489112,1092.1,
20180208,2400.17,2423.88,2393.46,2407.62,362415,1087.9,
20180207,2483.72,2484.18,2396.56,2396.56,460075,1086.6,
20180206,2437.02,2460.28,2409.38,2453.31,582836,1091.5,
20180205,2487.34,2503.99,2476.24,2491.75,442349,1088.5,
20180202,2565.99,2565.99,2519.6,2525.39,481817,1079.7,
20180201,2578.91,2583.74,2564.59,2568.54,595147,1071.9,
20180131,2557.37,2597.14,2553.01,2566.46,403051,1067.9,
20180130,2590.41,2599.17,2567.07,2567.74,397038,1073.6,
20180129,2588.87,2607.1,2587.55,2598.19,437474,1065.6,
20180126,2560.69,2574.76,2553.53,2574.76,400648,1063.9,
20180125,2536.96,2564.43,2536.73,2562.23,514605,1058.6,
20180124,2533.86,2547.22,2531.31,2538,371087,1070.2,
20180123,2510.35,2536.6,2507.96,2536.6,370007,1070.2,
20180122,2516.9,2517.12,2488.44,2502.11,342994,1070.1,
20180119,2519.67,2524.33,2513.09,2520.26,351845,1065.9,
20180118,2527.67,2532.08,2512.69,2515.81,333112,1070.7,
20180117,2517.19,2521.97,2506.49,2515.43,336712,1069.3,
20180116,2504.16,2524.55,2498.55,2521.74,341606,1062.7,
20180115,2510.97,2513.3,2496.18,2503.73,404550,1062.7,
20180112,2499.87,2500.87,2482.15,2496.42,438775,1064.8,
20180111,2496.86,2502.52,2483.82,2487.91,444340,1072,
